stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720882291,500,Barrière de Muret,43.5795,1.42366,0,1970324837185545,2
3377699720882292,503,Barrière de Muret,43.5784,1.42386,0,1970324837185545,1
3377699720882293,502,Barrière de Muret,43.5787,1.42361,0,1970324837185545,1
3377699720882294,20330,Vincent Auriol,43.4701,1.32994,0,1970324837185546,2
3377699720882313,5330,Pérignon,43.6006,1.46413,0,1970324837185565,1
3377699720882314,5331,Pérignon,43.6006,1.46428,0,1970324837185565,1
3377699720882315,1750,Crampel,43.5881,1.45927,0,1970324837185566,1
3377699720882316,1751,Crampel,43.5883,1.45895,0,1970324837185566,1
3377699720882317,1711,Courrège,43.5842,1.46923,0,1970324837185567,1
3377699720882318,1710,Courrège,43.5841,1.46952,0,1970324837185567,1
3377699720882320,25140,Crouzet,43.537,1.55959,0,1970324837185568,2
3377699720882321,25141,Crouzet,43.5373,1.55921,0,1970324837185568,2
3377699720882322,25121,Centre,43.5214,1.58936,0,1970324837185569,1
3377699720882323,25120,Centre,43.5215,1.5896,0,1970324837185569,1
3377699720882324,25041,La Douce,43.4909,1.64322,0,1970324837185570,2
3377699720882325,25040,La Douce,43.4905,1.643,0,1970324837185570,2
3377699720882326,25021,Mairie Labastide Beauvoir,43.4823,1.66646,0,1970324837185571,1
3377699720882327,25011,En Blanc,43.4806,1.69047,0,1970324837185572,2
3377699720882331,17970,Montauriol,43.5864,1.5783,0,1970324837185575,1
3377699720882332,17971,Montauriol,43.5871,1.57922,0,1970324837185575,1
3377699720882353,15850,Parc de Campagne,43.5628,1.31189,0,1970324837185596,2
3377699720882354,15851,Parc de Campagne,43.5628,1.31204,0,1970324837185596,2
3377699720882360,3250,Guillaumet,43.6162,1.4732,0,1970324837185602,1
3377699720882361,3251,Guillaumet,43.6164,1.47317,0,1970324837185602,1
3377699720882363,6170,Roseraie,43.6194,1.46936,0,1970324837185603,1
3377699720882365,6173,Roseraie,43.6194,1.46944,0,1970324837185603,1
3377699720882377,40173,Balma-Gramont,43.6289,1.48266,0,1970324837185612,1
3377699720882378,40171,Balma-Gramont,43.6289,1.48293,0,1970324837185612,1
3377699720882382,10074,Balma-Gramont,43.6286,1.4821,0,1970324837185612,1
3377699720882383,10079,Balma-Gramont,43.6285,1.4823,0,1970324837185612,1
3377699720882384,10075,Balma-Gramont,43.6284,1.48212,0,1970324837185612,1
3377699720882386,10071,Balma-Gramont,43.6281,1.48211,0,1970324837185612,1
3377699720882387,10072,Balma-Gramont,43.6282,1.48239,0,1970324837185612,1
3377699720882722,2031,Doumergue,43.6212,1.46921,0,1970324837185896,1
3377699720882723,2030,Doumergue,43.6211,1.46926,0,1970324837185896,1
3377699720882724,5420,Place Bet,43.6233,1.46747,0,1970324837185897,1
3377699720882725,5421,Place Bet,43.6234,1.46728,0,1970324837185897,1
3377699720882726,4621,Michoun,43.6244,1.46607,0,1970324837185898,1
3377699720882727,4620,Michoun,43.6243,1.46613,0,1970324837185898,1
3377699720882728,2571,Eglise St-André,43.6262,1.46751,0,1970324837185899,1
3377699720882729,2570,Eglise St-André,43.6262,1.4676,0,1970324837185899,1
3377699720882730,3470,Hyères,43.6279,1.47039,0,1970324837185900,1
3377699720882731,3471,Hyères,43.628,1.46964,0,1970324837185900,1
3377699720882732,7170,Victor Cousin,43.6301,1.47275,0,1970324837185901,1
3377699720882734,4950,Nicol,43.6332,1.46981,0,1970324837185903,2
3377699720882735,4951,Nicol,43.6328,1.47021,0,1970324837185903,2
3377699720882736,320,Avranches,43.6343,1.46723,0,1970324837185904,1
3377699720882737,321,Avranches,43.6344,1.46695,0,1970324837185904,1
3377699720882738,1891,Colonel Rémy,43.6352,1.465,0,1970324837185905,1
3377699720882739,1890,Colonel Rémy,43.6353,1.46481,0,1970324837185905,2
3377699720882740,910,Cabarette,43.635,1.46142,0,1970324837185906,2
3377699720882741,911,Cabarette,43.6351,1.46158,0,1970324837185906,2
3377699720882742,4431,Petit Castelet,43.6336,1.45824,0,1970324837185907,1
3377699720882743,4430,Petit Castelet,43.6335,1.45797,0,1970324837185907,2
3377699720882749,8020,"Pl de l'Armée d'Afrique",43.6243,1.45465,0,1970324837185911,1
3377699720882750,6980,Teinturiers,43.5954,1.43244,0,1970324837185912,1
3377699720882751,6981,Teinturiers,43.5957,1.43244,0,1970324837185912,1
3377699720882752,2140,Delpy,43.5934,1.43087,0,1970324837185913,1
3377699720882753,1851,Cugnaux,43.5956,1.43143,0,1970324837185914,2
3377699720882754,6401,Ste-Lucie,43.5939,1.42958,0,1970324837185915,1
3377699720882755,6111,Rodin,43.5925,1.42744,0,1970324837185916,1
3377699720882756,6110,Rodin,43.5924,1.42739,0,1970324837185916,2
3377699720882757,7110,Valats,43.5911,1.4249,0,1970324837185917,2
3377699720882758,7111,Valats,43.5912,1.42514,0,1970324837185917,1
3377699720882759,160,Déodat de Séverac,43.5891,1.4224,0,1970324837185918,1
3377699720882760,161,Déodat de Séverac,43.5898,1.4213,0,1970324837185918,1
3377699720882761,1971,Déodat de Séverac,43.5898,1.42253,0,1970324837185918,1
3377699720882762,1970,Déodat de Séverac,43.59,1.42277,0,1970324837185918,2
3377699720882763,3020,Gamelin,43.5888,1.42123,0,1970324837185919,2
3377699720882764,3021,Gamelin,43.5889,1.42142,0,1970324837185919,1
3377699720882766,4700,Mont Dore,43.5846,1.41579,0,1970324837185920,2
3377699720882767,6920,Tellier,43.5857,1.41371,0,1970324837185921,1
3377699720882768,6921,Tellier,43.5854,1.41241,0,1970324837185921,1
3377699720882775,4270,Place du Morvan,43.5807,1.40946,0,1970324837185925,1
3377699720882776,4271,Place du Morvan,43.5809,1.40894,0,1970324837185925,1
3377699720882777,3281,Guyenne,43.5772,1.40984,0,1970324837185926,1
3377699720882778,3280,Guyenne,43.577,1.41047,0,1970324837185926,1
3377699720882779,3510,Ile de France,43.576,1.41165,0,1970324837185927,1
3377699720882780,3511,Ile de France,43.5764,1.41223,0,1970324837185927,1
3377699720882781,671,Bigorre,43.5748,1.41107,0,1970324837185928,1
3377699720882782,1661,Ch. Papus,43.5742,1.41195,0,1970324837185929,1
3377699720882785,5620,Ile du Ramier,43.5923,1.44044,0,1970324840530407,1
3377699720882786,5621,Ile du Ramier,43.5922,1.44035,0,1970324840530407,1
3377699720882787,3651,Jardin Royal,43.5948,1.44961,0,1970324837185933,1
3377699720882788,3650,Jardin Royal,43.5948,1.4495,0,1970324837185933,1
3377699720882791,6440,St-Georges,43.6031,1.45126,0,1970324837185934,1
3377699720882792,6441,St-Georges,43.6032,1.45129,0,1970324837185934,1
3377699720882793,7180,Victor Hugo,43.6073,1.44697,0,1970324837185935,1
3377699720882794,7181,Victor Hugo,43.6073,1.44713,0,1970324837185935,1
3377699720882796,1591,Concorde,43.611,1.44216,0,1970324837185936,1
3377699720882797,1592,Concorde,43.6104,1.4437,0,1970324837185936,1
3377699720882798,91,Amidonniers,43.6061,1.42818,0,1970324837185937,1
3377699720882799,90,Amidonniers,43.6066,1.42821,0,1970324837185937,1
3377699720882800,11,Les Abattoirs,43.6009,1.42851,0,1970324837185938,1
3377699720882801,6491,Ste-Catherine,43.5906,1.44537,0,1970324837185939,1
3377699720882803,4970,Notre Dame,43.5892,1.44598,0,1970324837185940,1
3377699720882804,4971,Notre Dame,43.5892,1.44598,0,1970324837185940,1
3377699720882805,5700,St-Michel - Marcel Langer,43.5861,1.44724,0,1970324837185941,1
3377699720882808,5980,Récollets,43.5838,1.44806,0,1970324837185942,2
3377699720882809,5981,Récollets,43.5824,1.44869,0,1970324837185942,1
3377699720882810,301,Av. de Rangueil,43.5772,1.4506,0,1970324837185943,1
3377699720882811,300,Av. de Rangueil,43.5777,1.45047,0,1970324837185943,1
3377699720882813,1940,Delmas,43.576,1.4511,0,1970324837185944,2
3377699720882814,1941,Delmas,43.576,1.45116,0,1970324837185944,2
